tg_exp,tg_cal
438.0,379.69190583544923
403.0,379.242981292517
220.0,217.18958673469388
401.0,391.9095986394558
390.0,418.30145458760785
376.5,423.99370918367345
219.5,241.8878044217687
277.0,292.757881014445
289.0,337.29450707385604
250.5,322.407768707483
221.0,216.6318985606348
215.5,228.43907482993197
244.5,224.24664171745624
271.0,265.74625697865287
280.5,388.2029081632653
208.0,263.99981278759503
230.0,222.45916693545607
253.0,237.62730272108843
311.0,200.63183020619968
313.0,256.00893308843405
380.5,314.15972338766153
390.5,354.92722309070183
202.0,192.94041548369887
230.0,247.3639744897959
215.0,223.25344693560083
236.5,280.0754726004361
223.0,218.4466797949277
381.5,396.39289795918364
196.0,216.65635376915884
225.0,203.4523707482993
218.0,233.81414574786714
200.5,296.02231802721093
302.0,298.5394829931973
323.0,357.2472057823129
268.0,344.8645714285714
232.0,237.14992316755735
225.5,222.0140053774419
248.5,285.14182312925175
230.5,261.70429081632653
337.0,480.943156462585
384.0,318.52978061224496
330.0,362.59418920826414
324.0,353.71618726226745
315.0,331.01521801441055
330.0,304.77535958977
313.0,292.49195442447126
353.0,274.5903180272109
324.0,350.5135039827052
332.0,310.9945802295547
323.0,360.34004580130943
319.0,328.6082192184375
323.0,297.05708243106085
320.0,268.663202949372
316.0,361.57165885651216
265.0,228.1964557823129
171.0,158.15805023786538
178.0,198.22450198927538
197.0,192.62468197278912
204.0,213.284787414966
373.0,401.27862293156574
284.0,387.90657499206577
268.0,209.41217070502978
434.5,439.7059608843538
422.0,419.5189030612245
374.0,345.02469217687076
359.0,327.3343137864341
322.0,248.74806366049984
372.0,390.3627602040816
353.0,326.1124693877551
410.0,302.2224793521046
386.0,403.3179212014946
376.0,359.3113659632944
462.0,484.1472801171886
472.0,465.90083843537417
297.0,296.24416581112484
214.0,235.92437318274494
238.0,273.9006105442177
313.0,362.074869047619
244.0,230.7060493197279
269.5,318.823712585034
207.0,231.5187278911565
364.0,335.43448054840763
324.0,415.4470034013605
394.5,385.83119232455965
297.0,354.6081955782313
344.5,448.38075170068026
213.0,194.7128988310336
220.0,251.5929081632653
276.0,305.8723758503401
221.0,294.47006462585034
332.0,323.94879882688315
232.0,220.2955136690198
326.0,316.5028526409458
214.5,280.23203401360547
194.0,217.04182142857144
215.5,176.591967499641
204.0,187.33746514415384
211.0,253.15441156214703
188.5,202.43133843537413
209.0,215.22842687074834
189.0,212.63964795918366
205.5,188.93067017707546
189.5,197.78098469387757
196.0,192.8059863945578
431.0,461.1349913971485
437.0,445.7731392333513
420.0,455.0276513605442
291.0,234.0199879792802
312.0,253.57340203117712
259.0,291.5809574829932
367.5,364.57118537414965
349.0,323.124913555251
373.0,534.7477108843538
306.0,321.31718265331745
285.0,260.7723860544218
255.0,242.05483163265305
487.0,427.01083591786494
433.0,476.5841564625851
293.5,230.26921157952455
369.5,340.1644142280621
211.0,273.8699463836736
218.0,243.32680531853944
331.0,388.31038605442177
267.0,260.1060409719134
326.5,396.2191034159397
341.5,447.1452329931973
363.0,435.3766581632653
312.0,196.3495726719657
240.5,267.9531964066086
314.0,332.3454885665001
388.0,402.76168525662126
313.5,353.0009149659864
331.5,319.1597973592652
403.0,472.80293367346934
385.5,499.4358275697125
348.0,379.5988282312925
427.0,405.88283357000506
409.0,388.825425170068
370.0,402.00408815323493
377.0,404.7738064423165
373.0,384.53350392706614
402.0,423.35199319727894
353.0,291.07958261689333
482.5,500.74325510204085
495.0,426.0191802721088
355.5,364.22147789115644
452.0,423.09392687074825
334.0,347.17486926814945
351.5,400.1609310599126
304.0,388.2089676870748
344.0,396.3324115646259
305.5,335.834526893339
283.0,265.376490127844
301.0,312.9377806122449
323.0,378.75842517006805
430.5,538.1001598639456
192.0,213.39172789115648
194.0,223.77539999950932
196.0,193.01123859286997
197.0,211.36089455782314
197.0,167.22460000247673
203.0,172.76776085651198
203.0,200.13901530612247
205.0,210.70657872628612
207.0,233.1728350340136
207.0,188.80128435761299
209.0,183.3450446000681
213.0,238.58872822458164
213.0,203.64570408163263
213.0,223.65513265306126
215.0,269.3683503585913
217.0,241.91216156462585
220.0,231.06938465046557
221.0,227.7048418367347
228.0,200.6081095801789
228.0,267.7460999987451
233.0,264.19636394557824
235.0,265.3354991762129
239.0,237.97015556091986
243.0,203.2539000027062
251.0,283.2811411564626
257.0,202.31163153993774
259.0,216.91548469416233
278.0,226.0673707482993
278.0,262.9646402489918
279.0,270.9714982993197
284.0,294.641887755102
286.0,222.61409141594592
293.0,251.2939062566634
293.0,304.3412585034014
295.0,248.45060260807088
298.0,299.375074829932
306.0,412.895421455328
310.0,300.4607056831138
313.0,258.4385813385807
313.0,328.1654999940741
315.0,326.39318997567034
315.0,281.63951765547773
316.0,325.3110639619486
318.0,372.05871134071606
318.0,408.4197210884354
319.0,303.8344999955855
319.0,264.7587448979592
320.0,331.4592827203451
324.0,316.8299672145249
324.0,320.00470611885083
328.0,322.6470680272109
329.0,376.50354251700685
330.0,278.7482789115646
330.0,269.2126547619048
330.0,269.8029557823129
333.0,288.65810204081635
333.0,299.75923299319726
333.0,308.1176496420489
337.0,438.6321292517007
343.0,297.7433010204082
344.0,368.35246244599637
345.0,346.550268707483
348.0,343.5403962585034
348.0,347.25059581080643
350.0,316.649862244898
355.0,347.239205782313
358.0,412.1200714285714
359.0,276.7876275510204
359.0,314.95942346938773
360.0,420.9387290374748
360.0,386.84872619047616
362.0,312.0402530290547
363.0,369.7084540816326
363.0,383.0922105773892
363.0,316.4978792517007
368.0,367.1091407647489
373.0,400.68947619047617
373.0,343.2321054421769
376.0,390.8316904761905
377.0,385.80626530612244
377.0,421.04401530612245
384.0,331.57201680183294
384.0,404.3612346938775
385.0,394.05089455782314
386.0,398.65215475964044
388.0,292.17608673469385
392.0,486.0454115646258
394.0,377.2448756722119
396.0,372.05230077046366
398.0,355.71777803504693
401.0,434.72583843537416
403.0,343.65976020408164
403.0,400.4654217687075
407.0,417.5833894557823
410.0,404.5520457830514
411.0,466.1286904761905
411.0,363.85052358782923
413.0,399.0063775510204
415.0,400.38527210884354
416.0,381.56776227859064
420.0,361.3515051020408
420.0,409.0622874160141
421.0,465.51613327278244
422.0,427.2415538404661
423.0,320.88563625468424
423.0,394.2494308736286
424.0,369.42825725413724
432.0,321.54438775510204
433.0,415.97185817651075
440.0,429.9926449052101
444.0,446.348574829932
444.0,450.48948208577235
449.0,453.26839020830056
473.0,424.2283969304376
478.0,391.3016275233802
494.0,502.6101003401361
500.0,501.36176643941405
505.0,498.04643559466274
512.0,479.17985884353743
513.0,540.4866513539216
520.0,483.50018537414974
520.0,531.3616275510203
539.0,449.2419489795918
541.0,593.8911803689248
543.0,470.7259223519524
545.0,499.7791099923671
546.0,545.9440238095239
550.0,574.2203467271498
573.0,554.3062592721602
578.0,570.6935306817268
578.0,421.02579761904764
579.0,566.1497653795433
581.0,488.75421598639457
591.0,619.381307933629
599.0,474.47178401360543
600.0,612.4212535401124
317.0,329.4049642857143
304.0,306.8457602040816
323.0,313.13958843537415
