acid,epoxide,temperature1,temperature2,temperature3,temperature4,temperature5,temperature6,temperature7,temperature8,temperature9,temperature10,temperature11,temperature12,temperature13,temperature14,temperature15,temperature16,temperature17,temperature18,temperature19,temperature20,temperature21,temperature22,temperature23,temperature24,temperature25,temperature26,temperature27,temperature28,temperature29,temperature30,temperature31,temperature32,temperature33,temperature34,temperature35,temperature36,temperature37,temperature38,temperature39,temperature40,temperature41,temperature42,temperature43,temperature44,temperature45,temperature46,temperature47,temperature48,temperature49,temperature50,temperature51,temperature52,temperature53,temperature54,temperature55,temperature56,temperature57,temperature58,temperature59,temperature60,temperature61,temperature62,temperature63,temperature64,temperature65,temperature66,temperature67,temperature68,temperature69,temperature70,temperature71,density1,density2,density3,density4,density5,density6,density7,density8,density9,density10,density11,density12,density13,density14,density15,density16,density17,density18,density19,density20,density21,density22,density23,density24,density25,density26,density27,density28,density29,density30,density31,density32,density33,density34,density35,density36,density37,density38,density39,density40,density41,density42,density43,density44,density45,density46,density47,density48,density49,density50,density51,density52,density53,density54,density55,density56,density57,density58,density59,density60,density61,density62,density63,density64,density65,density66,density67,density68,density69,density70,density71
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,800.6630,790.8710,781.4620,770.1550,761.1140,750.3750,739.9560,731.1350,719.0810,710.2740,699.9870,689.6030,680.1270,670.7710,660.8900,650.2510,640.4280,631.0920,619.8850,610.7630,599.6700,589.6590,579.4940,569.9080,560.7460,549.2920,540.3920,529.8570,520.1320,509.5490,499.5440,490.0350,480.6710,469.2200,459.2740,450.1010,440.6660,430.2440,419.3690,409.8620,400.6020,390.0310,379.9680,370.0410,359.7350,350.4990,339.4690,330.1270,320.1690,309.6530,299.7840,289.7450,279.9160,269.8600,259.7150,249.9110,240.1360,230.0520,219.8590,209.8030,200.0660,190.0310,179.7160,169.8610,160.3520,150.1370,140.0900,130.1170,119.8080,109.8840,99.9823,0.9787,0.9919,0.9800,0.9899,0.9928,0.9931,0.9932,1.0139,1.0156,1.0176,1.0228,1.0334,1.0252,1.0455,1.0460,1.0549,1.0555,1.0608,1.0729,1.0739,1.0849,1.0749,1.0778,1.0887,1.0982,1.1011,1.1079,1.1170,1.1189,1.1218,1.1349,1.1334,1.1404,1.1450,1.1485,1.1547,1.1572,1.1650,1.1629,1.1705,1.1730,1.1785,1.1789,1.1851,1.1918,1.1914,1.1964,1.2025,1.2019,1.2082,1.2091,1.2130,1.2181,1.2191,1.2213,1.2225,1.2253,1.2270,1.2310,1.2325,1.2354,1.2363,1.2395,1.2397,1.2428,1.2442,1.2471,1.2491,1.2513,1.2530,1.2555
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,800.7600,788.8540,779.2450,770.0230,759.8720,749.5780,740.9200,730.7840,720.7890,709.3920,699.0390,689.8250,680.0450,670.7310,659.8950,650.3970,639.8460,630.1860,619.1280,610.0030,600.2980,589.9710,580.0300,569.3960,559.6350,549.0410,539.6230,530.9720,520.9770,510.2280,500.2290,489.7280,479.4550,470.2760,460.4280,450.0920,440.5080,430.3550,420.2690,410.7240,399.7840,390.0500,379.7410,369.6230,360.0290,350.5300,340.0070,330.0540,319.6010,309.9720,300.2900,290.0190,280.2210,269.7910,259.9090,250.2540,239.4500,230.1170,219.5840,210.0670,200.1060,190.1070,180.1020,170.0750,159.7800,150.1630,139.7580,129.8710,119.9690,110.2020,99.9971,0.9746,0.9832,0.9812,0.9924,0.9925,0.9973,0.9995,1.0147,1.0127,1.0271,1.0189,1.0293,1.0285,1.0359,1.0404,1.0450,1.0590,1.0652,1.0618,1.0700,1.0778,1.0839,1.0880,1.0883,1.1008,1.1010,1.1125,1.1106,1.1202,1.1229,1.1370,1.1324,1.1365,1.1405,1.1499,1.1566,1.1576,1.1591,1.1651,1.1774,1.1775,1.1807,1.1797,1.1837,1.1853,1.1920,1.1965,1.1998,1.2033,1.2090,1.2113,1.2162,1.2171,1.2215,1.2241,1.2267,1.2290,1.2340,1.2366,1.2406,1.2431,1.2437,1.2464,1.2474,1.2529,1.2542,1.2573,1.2591,1.2614,1.2634,1.2654
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,799.5660,789.8460,779.7000,770.6280,759.8070,750.7030,739.8240,729.8870,719.9750,709.7970,699.9510,689.5600,680.5520,670.5260,660.1200,649.6030,638.9360,629.9560,619.6360,609.5520,599.4880,590.1560,580.7510,569.4410,560.3870,550.2690,539.9840,530.5870,520.0030,510.2540,500.7590,490.5740,479.7880,470.2370,459.8510,450.2700,439.3960,429.4690,419.9430,410.0560,400.4740,390.4080,380.3110,369.9050,359.8870,350.2290,339.9020,330.1450,319.7510,309.8720,300.2500,290.4640,280.0560,270.1200,259.8600,249.9050,240.3510,229.9060,219.9040,210.1650,200.0080,190.1620,180.0640,169.8620,159.8050,149.8710,140.1600,130.1040,119.8560,110.1670,100.1180,0.9758,0.9717,0.9821,0.9839,0.9930,0.9913,1.0010,1.0107,1.0141,1.0123,1.0284,1.0292,1.0302,1.0314,1.0409,1.0449,1.0512,1.0732,1.0645,1.0771,1.0854,1.0896,1.0899,1.0913,1.1106,1.1134,1.1157,1.1185,1.1277,1.1269,1.1307,1.1317,1.1478,1.1534,1.1591,1.1564,1.1597,1.1629,1.1687,1.1705,1.1806,1.1831,1.1866,1.1844,1.1900,1.1936,1.1973,1.1960,1.2024,1.2116,1.2134,1.2144,1.2184,1.2241,1.2255,1.2273,1.2288,1.2334,1.2363,1.2390,1.2411,1.2438,1.2464,1.2504,1.2510,1.2533,1.2552,1.2587,1.2611,1.2624,1.2649
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,800.3040,790.1540,780.2310,771.1140,759.1420,749.7290,739.6510,729.8830,720.1990,710.1300,700.7890,689.4660,680.4490,669.5930,660.4810,649.5850,639.7200,628.9400,620.4520,609.8520,598.9720,589.9960,580.6280,570.1520,560.8400,550.2450,540.1540,530.8160,519.8750,510.1530,499.1740,490.1910,479.9300,469.9980,459.9100,450.3750,440.1670,429.6000,421.2570,409.7980,399.7400,390.5230,380.0830,369.4970,359.9230,350.4090,340.1280,329.8300,319.9580,309.4080,300.1000,289.8280,280.3790,270.0480,260.0150,249.9090,240.0440,230.0860,220.0430,209.8870,200.2010,190.3440,179.9690,169.8700,160.0480,149.9480,140.1450,130.0230,119.9590,110.1030,100.1380,0.9771,0.9690,0.9800,0.9860,0.9984,0.9934,0.9998,1.0120,1.0127,1.0141,1.0413,1.0322,1.0233,1.0406,1.0451,1.0479,1.0614,1.0646,1.0706,1.0756,1.0751,1.0846,1.0965,1.0954,1.0978,1.1041,1.1117,1.1090,1.1304,1.1284,1.1369,1.1382,1.1473,1.1536,1.1568,1.1573,1.1642,1.1656,1.1687,1.1725,1.1805,1.1797,1.1842,1.1868,1.1917,1.1956,1.1970,1.2034,1.2038,1.2091,1.2101,1.2101,1.2135,1.2185,1.2181,1.2215,1.2254,1.2282,1.2299,1.2345,1.2343,1.2381,1.2415,1.2437,1.2463,1.2476,1.2490,1.2515,1.2545,1.2569,1.2593
COc1ccc(CCCNC(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)N(C)Cc2cccc(OCC3CO3)n2)c(OCC2CO2)c1,800.4380,789.9990,780.3310,769.5460,759.6040,750.7200,740.5760,730.5210,720.7990,709.1470,698.2160,690.2880,681.5980,670.6280,660.3420,650.1230,639.7660,631.0630,620.0910,609.7190,600.0520,589.8410,580.7190,569.8270,559.8310,550.0190,539.3560,530.3870,520.2530,509.8340,499.3900,490.1060,479.5480,469.6990,460.4660,450.2520,439.8530,430.1330,419.1800,410.4770,399.4930,390.2180,380.3410,370.0110,360.4670,350.3620,340.1640,330.3700,320.2120,310.1570,299.6170,289.7610,279.5460,270.0740,260.1950,249.8270,239.8640,229.7610,220.0860,210.3100,199.9810,189.8740,179.9620,169.9900,159.8000,149.9540,140.1000,129.9040,119.8830,109.9650,99.8858,0.9730,0.9707,0.9808,0.9783,0.9927,0.9914,1.0088,1.0078,1.0158,1.0118,1.0253,1.0239,1.0386,1.0335,1.0510,1.0534,1.0537,1.0643,1.0600,1.0798,1.0750,1.0862,1.0814,1.0907,1.1043,1.1094,1.1170,1.1200,1.1241,1.1299,1.1310,1.1382,1.1451,1.1408,1.1460,1.1595,1.1696,1.1775,1.1792,1.1778,1.1816,1.1866,1.1885,1.1907,1.1936,1.2020,1.2029,1.2094,1.2090,1.2111,1.2169,1.2209,1.2211,1.2237,1.2283,1.2327,1.2329,1.2332,1.2396,1.2421,1.2426,1.2460,1.2471,1.2497,1.2520,1.2537,1.2562,1.2590,1.2604,1.2629,1.2648
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,800.6210,790.5250,779.9430,770.4420,760.1680,750.0450,739.6390,730.2250,720.7610,710.7280,700.4510,691.0460,679.7560,669.3450,659.6830,649.8550,641.4810,630.7310,619.5760,609.9190,599.6660,589.7670,579.6150,570.2090,560.2420,549.5510,540.5710,529.4770,520.3460,509.9510,500.2090,489.7370,479.8020,469.7630,460.2690,449.3670,440.2900,430.0290,419.5780,409.8490,399.6370,390.5860,380.1280,370.0820,359.6030,349.8470,340.6200,330.3160,320.0590,310.1210,299.7260,290.0810,279.8190,269.8980,260.0320,249.8700,240.6860,229.7470,220.2810,210.3710,200.2700,190.1440,179.8850,169.8410,160.0600,149.7810,140.1940,130.1930,119.7820,110.0180,100.0160,0.9089,0.9212,0.9268,0.9218,0.9321,0.9320,0.9480,0.9469,0.9585,0.9559,0.9694,0.9698,0.9821,0.9814,0.9795,0.9989,0.9894,0.9959,1.0114,1.0046,1.0163,1.0255,1.0319,1.0281,1.0338,1.0471,1.0472,1.0491,1.0648,1.0648,1.0725,1.0814,1.0877,1.0852,1.0839,1.0886,1.0970,1.1006,1.1043,1.1169,1.1149,1.1215,1.1261,1.1245,1.1312,1.1318,1.1383,1.1431,1.1445,1.1483,1.1520,1.1525,1.1544,1.1577,1.1585,1.1658,1.1653,1.1682,1.1700,1.1722,1.1743,1.1763,1.1782,1.1821,1.1850,1.1853,1.1886,1.1899,1.1918,1.1935,1.1964
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,799.9360,789.1750,780.0040,770.3900,759.5330,750.1760,740.1560,731.1130,719.3630,709.4200,700.6730,690.3490,680.0060,671.1650,660.2110,650.0000,639.3080,630.1560,619.7310,610.0280,600.1810,589.0360,580.1050,569.4270,560.6800,549.3040,539.9440,529.3930,519.6280,510.3070,500.0280,490.3180,479.9650,470.4510,459.8970,449.9140,440.2570,430.0690,420.1590,409.9840,400.3500,390.1140,379.6540,370.5170,359.7930,350.8430,339.6900,329.4910,319.9830,309.8590,300.4610,289.9970,280.2680,269.8750,259.8670,250.0400,239.9530,230.4040,219.9030,210.2380,199.7900,189.9480,179.9750,169.7390,159.8960,149.9390,140.0840,129.7440,119.9650,110.0500,99.9969,0.9060,0.9248,0.9280,0.9224,0.9297,0.9474,0.9425,0.9362,0.9502,0.9589,0.9580,0.9747,0.9813,0.9790,0.9858,0.9903,0.9968,0.9986,0.9982,1.0162,1.0179,1.0229,1.0345,1.0335,1.0350,1.0339,1.0469,1.0552,1.0526,1.0616,1.0638,1.0655,1.0798,1.0910,1.0842,1.0925,1.0986,1.0986,1.1011,1.1066,1.1108,1.1164,1.1193,1.1236,1.1244,1.1290,1.1348,1.1318,1.1360,1.1379,1.1440,1.1441,1.1476,1.1499,1.1538,1.1564,1.1581,1.1606,1.1626,1.1651,1.1668,1.1679,1.1677,1.1732,1.1735,1.1758,1.1776,1.1791,1.1799,1.1832,1.1848
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,799.6500,789.5590,779.8390,770.8640,760.7560,751.2160,740.1520,729.9850,720.1880,710.1510,700.9230,689.2090,680.5140,670.5530,659.1760,649.5880,640.7220,630.5150,621.1380,610.1850,599.9720,590.6050,580.3980,569.7380,560.5470,549.5430,539.8050,530.2960,519.8040,510.5150,499.1430,489.9250,479.6580,469.4380,459.3230,450.3940,439.8090,429.6360,420.2210,410.5040,399.3510,390.2020,379.9620,370.4030,360.0960,349.9420,340.0910,330.3630,319.6500,310.2110,300.4410,289.8110,280.0060,270.0770,259.8700,250.2900,240.1870,229.7420,220.0080,210.2620,199.9520,190.0930,179.8160,170.3620,159.8760,149.8730,139.8770,130.0700,119.8970,109.7120,100.0850,0.9133,0.9258,0.9176,0.9252,0.9228,0.9376,0.9409,0.9468,0.9591,0.9688,0.9692,0.9710,0.9782,0.9739,0.9872,0.9877,0.9863,0.9939,1.0057,1.0076,1.0107,1.0170,1.0241,1.0298,1.0311,1.0428,1.0406,1.0519,1.0647,1.0613,1.0653,1.0712,1.0776,1.0769,1.0822,1.0865,1.0926,1.0964,1.1034,1.1079,1.1112,1.1171,1.1195,1.1242,1.1276,1.1331,1.1355,1.1420,1.1423,1.1446,1.1480,1.1463,1.1482,1.1512,1.1571,1.1603,1.1617,1.1641,1.1665,1.1696,1.1715,1.1735,1.1748,1.1801,1.1822,1.1841,1.1855,1.1879,1.1889,1.1910,1.1937
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,799.8580,789.2350,781.3880,770.3330,759.7540,749.6280,740.2660,731.5250,718.9430,709.4350,700.1490,691.2170,680.7050,669.6580,661.0620,650.7810,640.1390,630.0120,620.3090,610.3160,600.0030,589.2090,579.6340,570.2250,559.2230,549.5700,540.0950,529.9280,520.3550,510.5850,500.0900,489.5520,479.9860,469.7980,459.6730,449.9990,440.3070,429.7210,420.2590,410.1580,399.6960,390.2490,379.6260,369.9990,360.0460,350.6190,340.3400,330.0000,320.0310,309.9410,300.0760,290.4360,280.2240,269.6970,259.6560,250.1560,239.9280,230.0810,220.0600,209.8830,200.0050,190.1410,179.7800,170.0810,159.9570,150.1050,139.8830,130.0530,120.1550,109.9500,100.1250,0.9070,0.9259,0.9082,0.9347,0.9261,0.9337,0.9442,0.9516,0.9480,0.9605,0.9689,0.9597,0.9746,0.9806,0.9840,0.9814,0.9988,0.9968,0.9980,1.0142,1.0143,1.0229,1.0241,1.0477,1.0402,1.0413,1.0490,1.0372,1.0579,1.0662,1.0669,1.0701,1.0815,1.0894,1.0845,1.0913,1.0943,1.1043,1.1079,1.1097,1.1063,1.1151,1.1166,1.1170,1.1220,1.1261,1.1297,1.1306,1.1317,1.1328,1.1355,1.1371,1.1405,1.1424,1.1436,1.1485,1.1513,1.1529,1.1557,1.1574,1.1618,1.1633,1.1655,1.1681,1.1704,1.1738,1.1758,1.1781,1.1806,1.1823,1.1845
CC(CCN(CCC(=O)O)CCC(=O)O)c1ccccc1,Cc1cc(OCC2CO2)nc2cc(C(=O)Nc3ccc(OCC4CO4)c4ccccc34)ccc12,800.1540,789.2710,782.0340,769.3590,758.5510,749.7120,739.0150,729.5070,719.9420,709.2340,698.6410,690.3070,681.5520,670.1170,660.1350,650.6340,639.9760,629.8440,619.8550,609.1910,599.9520,590.0040,580.2890,569.9790,559.3030,550.5990,539.7110,530.3890,519.7750,509.9580,500.3790,490.1840,480.1750,470.1920,460.0990,449.8250,440.1230,429.8840,419.7670,410.4110,399.7690,390.0400,379.7410,369.6950,360.1710,349.4290,339.8080,329.9810,320.0090,310.6280,300.0000,290.1900,280.0300,269.7320,259.9000,249.9110,240.0150,229.9590,220.1350,209.7920,200.3150,189.9610,179.7290,169.9690,159.8830,150.0170,139.9970,129.7660,119.9190,109.9910,100.0160,0.9097,0.9189,0.9175,0.9325,0.9313,0.9352,0.9354,0.9496,0.9490,0.9506,0.9703,0.9643,0.9742,0.9816,0.9874,0.9953,1.0060,1.0018,1.0054,1.0126,1.0219,1.0249,1.0272,1.0243,1.0388,1.0412,1.0421,1.0534,1.0562,1.0656,1.0737,1.0775,1.0780,1.0848,1.0867,1.0879,1.0898,1.0986,1.1014,1.1072,1.1098,1.1165,1.1162,1.1184,1.1176,1.1208,1.1255,1.1275,1.1314,1.1352,1.1384,1.1390,1.1418,1.1435,1.1505,1.1518,1.1546,1.1548,1.1589,1.1591,1.1619,1.1634,1.1666,1.1682,1.1710,1.1714,1.1753,1.1767,1.1760,1.1786,1.1819
O=C(O)CCC(CCC(=O)O)C(=O)NCC(=O)Nc1cccc2ccccc12,COC(=O)c1cccc(C=CC(=O)c2cc(OCC3CO3)ccc2OCC2CO2)c1,800.3950,789.4580,779.8230,768.1870,759.6180,750.2720,740.0620,730.3320,720.4550,710.2090,700.1900,689.7760,680.1330,670.5060,660.0370,650.7910,639.8110,630.8710,619.6650,609.5240,599.7320,590.3480,580.7150,570.4050,560.0510,550.2170,538.8690,529.8240,520.1880,510.3180,499.9540,490.0830,479.6620,469.9300,460.3890,449.3480,439.4150,429.8620,420.0580,409.8950,400.3250,390.5770,379.9410,369.9910,359.9010,350.1860,339.5870,329.7990,319.7190,309.0260,300.3710,289.8100,279.9320,270.0760,260.0650,249.8390,239.7870,229.7090,220.3610,210.3740,200.1530,189.8740,180.0130,169.8230,159.9260,150.1460,139.9170,129.9670,119.9990,110.0480,99.8783,1.0025,1.0162,1.0125,1.0225,1.0135,1.0264,1.0301,1.0369,1.0404,1.0435,1.0637,1.0636,1.0594,1.0653,1.0716,1.0750,1.0891,1.0919,1.0919,1.1021,1.1083,1.1105,1.1199,1.1324,1.1249,1.1364,1.1325,1.1401,1.1436,1.1460,1.1526,1.1550,1.1589,1.1669,1.1690,1.1754,1.1758,1.1838,1.1854,1.1913,1.1932,1.1924,1.1979,1.2017,1.2076,1.2099,1.2100,1.2119,1.2109,1.2193,1.2170,1.2198,1.2234,1.2254,1.2284,1.2292,1.2335,1.2360,1.2380,1.2403,1.2429,1.2446,1.2481,1.2488,1.2511,1.2530,1.2559,1.2572,1.2584,1.2608,1.2619
